client,station,total_visits,total_spots,avg_visits_per_spot,total_cost,cpm,visits_per_thousand_impressions,performance_tier,opportunity_type,ai_recommendation,expected_impact,confidence,action_type,priority,generated_date
OPOS,LMN,7232,169,42.79289940828402,75900.00,,2329.14653784219,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,LIFE,4143,92,45.03260869565217,46000.00,,2839.6161754626455,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,WE,2732,121,22.578512396694215,46425.00,,1344.488188976378,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,TLC,1762,42,41.95238095238095,28400.00,,6204.225352112676,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,TBS,971,85,11.423529411764706,12875.00,,1019.9579831932772,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,GAME,820,39,21.025641025641026,21550.00,,1058.0645161290322,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,AEN,808,23,35.130434782608695,20100.00,,2082.4742268041236,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,AMC,761,61,12.475409836065573,6100.00,,1515.9362549800796,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,OXY,565,16,35.3125,11200.00,,1722.5609756097563,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,IDISC,473,50,9.46,14750.00,,335.6990773598297,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,SUNDA,441,13,33.92307692307692,5850.00,,4500.0,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,USA,263,27,9.74074074074074,15300.00,,485.23985239852396,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,HALL,244,31,7.870967741935484,9425.00,,340.7821229050279,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,TNT,197,21,9.380952380952381,3150.00,,696.113074204947,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,BRAV,126,21,6.0,4725.00,,533.8983050847457,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
OPOS,FOOD,69,25,2.76,4625.00,,249.0974729241877,Unknown,Monitor,,,Medium,monitor,999,2025-06-27
